"enum","title","costs_pickup","cost_ant","product_pickup","product_ant","buildings","energy_cost","process_time","always_unlocked","in_demo","planned","order"
"GRIND_STARCH","FACRECIPE_GRIND_STARCH","FIBER_SPIKETREE 1","","STARCH 4","","GRINDER2","","15","","","","32"
"CRUSHER_BULB5","FACRECIPE_CRUSHER_BULB5","","WORKER_BULB5 1","GLASS_RAW 1","","","","2","","","","80"
"CRUSHER_BULB4","FACRECIPE_CRUSHER_BULB4","","WORKER_BULB4 1","GLASS_RAW 1","","","","2","","","","79"
"CRUSHER_BULB3","FACRECIPE_CRUSHER_BULB3","","WORKER_BULB3 1","GLASS_RAW 1","","","","2","","","","78"
"CRUSHER_BULB2","FACRECIPE_CRUSHER_BULB2","","WORKER_BULB2 1","GLASS_RAW 1","","","","2","","","","77"
"CRUSHER_BULB1","FACRECIPE_CRUSHER_BULB1","","WORKER_BULB1 1","GLASS_RAW 1","","","","2","","","","76"
"CRUSHER_BULB0","FACRECIPE_CRUSHER_BULB0","","WORKER_BULB0 1","GLASS_RAW 1","","","","2","","","","75"
"CRUSHER_T1_IRON","FACRECIPE_CRUSHER_T1_IRON","","WORKER_T1_IRON 1","IRON_RAW 1","","","","2","","","","74"
"CRUSHER_MESSENGER","FACRECIPE_RECYCLE_MESSENGER ","","MESSENGER 1","GLASS_RAW 1","","","","2","","","","73"
"CRUSHER_GYNE","FACRECIPE_RECYCLE_GYNE ","","GYNE 1","GOLD_RAW 1","","","","2","","","","72"
"CRUSHER_PRINCESS","FACRECIPE_RECYCLE_PRINCESS ","","PRINCESS 1","GOLD_RAW 1","","","","2","","","","71"
"CRUSHER_HAZMAT","FACRECIPE_RECYCLE_HAZMAT ","","HAZMAT 1","IRON_RAW 1, RESIN 1","","","","2","","","","70"
"CRUSHER_SWARM","FACRECIPE_RECYCLE_SWARM ","","SWARM 1","IRON_RAW 1","","","","2","","","X","69"
"CRUSHER_SENTRY","FACRECIPE_RECYCLE_SENTRY ","","SENTRY 1","GOLD_RAW 1","","","","2","","","","68"
"CRUSHER_INVENTOR_T3","FACRECIPE_RECYCLE_INVENTOR_T3","","INVENTOR_T3 1","IRON_RAW 1","","","","2","","","","67"
"CRUSHER_BULB6","FACRECIPE_CRUSHER_BULB6","","WORKER_BULB6 1","GLASS_RAW 1","","","","2","","","","81"
"CRUSHER_INVENTOR_T2","FACRECIPE_RECYCLE_INVENTOR_T2","","INVENTOR_T2 1","IRON_RAW 1","","","","2","","","","66"
"CRUSHER_DIGGER","FACRECIPE_RECYCLE_DIGGER","","DIGGER 1","IRON_RAW 1","","","","2","","","","64"
"CRUSHER_DIGGERSMALL","FACRECIPE_RECYCLE_DIGGER_SMALL","","DIGGER_SMALL 1","IRON_RAW 1","","","","2","","","","63"
"CRUSHER_DRONE_T2","FACRECIPE_RECYCLE_DRONE_T2","","DRONE_T2 1","IRON_RAW 1, RESIN 1","","","","2","","","","62"
"CRUSHER_DRONE","FACRECIPE_RECYCLE_DRONE","","DRONE 1","IRON_RAW 1","","","","2","","","","61"
"CRUSHER_REGULAR_T3","FACRECIPE_RECYCLE_WORKER_T3","","WORKER_T3 1","IRON_RAW 1, RESIN 1, GOLD_DUST 1","","","","2","","","","60"
"CRUSHER_REGULAR_T2","FACRECIPE_RECYCLE_WORKER_T2","","WORKER_T2 1","IRON_RAW 1, RESIN 1","","","","2","","","","59"
"CRUSHER_REGULAR","FACRECIPE_RECYCLE_WORKER_T1","","WORKER_T1 1","IRON_RAW 1","","","","2","","","","58"
"CRUSHER_SMALL_T3","FACRECIPE_RECYCLE_WORKER_SMALL_T3","","WORKER_SMALL_T3 1","IRON_RAW 1, RESIN 1, GOLD_DUST 1","","","","2","","","","57"
"CRUSHER_SMALL_T2","FACRECIPE_RECYCLE_WORKER_SMALL_T2","","WORKER_SMALL_T2 1","IRON_RAW 1, RESIN 1","","","","2","","","","56"
"CRUSHER_SMALL","FACRECIPE_RECYCLE_WORKER_SMALL_T1","","WORKER_SMALL_T1 1","IRON_RAW 1","","","","2","","","","55"
"GRIND_GOLD","FACRECIPE_GRIND_GOLD","GOLD 1","","GOLD_DUST 4","","GRINDER2","","10","","","","36"
"GRIND_CRYSTAL","FACRECIPE_GRIND_CRYSTAL","CRYSTAL_RAW 1","","CRYSTAL_DUST 4","","GRINDER2","","30","","","","35"
"GRIND_GLASS","FACRECIPE_GRIND_GLASS","GLASS 1","","GLASS_DUST 4","","GRINDER2","","20","","","","34"
"GRIND_CONCRETE","FACRECIPE_GRIND_CONCRETE","CONCRETE 1","","CONCRETE_DUST 4","","GRINDER2","","30","","","","33"
"CRUSHER_INVENTOR","FACRECIPE_RECYCLE_INVENTOR_T1","","INVENTOR_T1 1","IRON_RAW 1","","","","2","","","","65"
"CRUSHER_LED","FACRECIPE_CRUSHER_LED","","WORKER_LED 1","IRON_RAW 1, RESIN 1","","","","2","","","","82"
